user,ts,score_diff,event
user_0,2016-07-02 08:36:46.019558,0,view_category
user_3,2016-07-05 19:18:49.966119,2,view_item
user_0,2016-07-05 03:31:17.310296,2,buy
user_5,2016-07-03 16:20:23.389334,0,view_category
user_4,2016-07-04 17:19:12.063729,1,login
user_2,2016-07-02 06:13:47.795895,0,buy
user_4,2016-07-07 23:45:04.332647,1.5,view_item
user_3,2016-07-10 02:09:42.259897,2.5,buy
user_1,2016-07-09 11:49:35.870143,0,view_category
user_1,2016-07-09 13:21:02.750494,1.5,buy
user_1,2016-07-02 01:36:37.673931,1,view_item
user_0,2016-07-07 21:39:16.000990,3,login
user_4,2016-07-03 02:20:52.057151,1.5,view_item
user_5,2016-07-02 21:18:15.110107,3,view_category
user_4,2016-07-06 09:40:39.097857,1.5,login
user_2,2016-07-01 03:15:38.102628,0,view_category
user_1,2016-07-02 08:09:34.717252,0.5,view_category
user_5,2016-07-03 01:28:30.396360,1.5,view_item
user_1,2016-07-08 02:24:49.382108,3,view_item
user_4,2016-07-02 17:24:01.007648,2,buy
user_4,2016-07-03 20:58:52.145480,2,view_category
user_1,2016-07-01 17:11:19.274979,2,view_item
user_5,2016-07-09 01:25:42.314537,0.5,view_category
user_4,2016-07-03 23:08:48.392542,0,view_category
user_4,2016-07-08 17:11:04.325208,2,view_category
user_3,2016-07-07 07:43:12.103922,0.5,login
user_2,2016-07-01 08:38:00.802379,2.5,login
user_5,2016-07-09 21:07:12.312594,2,view_category
user_5,2016-07-08 20:09:28.309580,2,view_item
user_5,2016-07-03 08:12:04.058398,2,view_category
user_3,2016-07-03 06:58:28.340916,1.5,view_item
user_5,2016-06-30 15:48:44.899966,0,view_category
user_2,2016-07-08 08:14:10.319075,2,login
user_0,2016-07-02 22:54:13.839796,0.5,view_item
user_1,2016-07-02 05:29:22.789457,1,login
user_0,2016-07-05 20:17:31.261330,1.5,login
user_3,2016-06-30 19:23:06.375050,1.5,view_item
user_2,2016-07-01 00:47:02.162021,1,view_category
user_5,2016-07-04 19:18:43.784072,0.5,view_item
user_3,2016-07-03 11:53:03.797063,0.5,view_item
user_4,2016-07-07 02:05:48.353518,2.5,view_category
user_0,2016-06-30 23:05:00.136984,0,view_item
user_1,2016-07-01 04:57:14.171703,0.5,login
user_4,2016-07-02 02:52:54.523288,0.5,view_category
user_4,2016-07-07 16:59:57.546900,0,view_category
user_3,2016-07-07 01:17:08.944055,2.5,view_category
user_0,2016-07-04 08:24:43.185734,1.5,view_category
user_4,2016-07-09 12:21:39.881607,0.5,view_category
user_3,2016-07-03 14:00:03.075802,0,view_category
user_4,2016-07-05 02:17:30.403236,1,view_item
user_4,2016-07-05 00:10:24.709095,2.5,view_category
user_4,2016-07-01 22:51:03.178301,2.5,view_category
user_2,2016-07-09 15:35:45.162367,0.5,view_category
user_2,2016-07-01 02:52:00.761326,1,view_item
user_1,2016-07-05 02:32:58.357524,3,view_category
user_1,2016-07-08 21:21:49.889280,0.5,view_category
user_1,2016-07-06 11:47:55.268652,0.5,buy
user_3,2016-07-05 18:36:08.795214,0,view_category
user_4,2016-07-06 00:10:42.139261,2.5,login
user_5,2016-07-08 14:32:20.205722,2.5,view_category
user_5,2016-07-09 09:58:39.656350,1.5,login
user_3,2016-07-08 06:29:39.643166,0.5,buy
user_2,2016-07-09 18:08:28.440735,0,view_item
user_4,2016-07-09 21:21:42.195737,0.5,buy
user_4,2016-07-04 22:56:01.761649,2.5,view_item
user_5,2016-07-09 17:20:53.978607,1.5,view_category
user_4,2016-07-02 10:42:36.453938,1,view_category
user_2,2016-07-03 03:38:01.472975,3,login
user_4,2016-07-03 08:55:47.102972,0.5,view_item
user_1,2016-07-07 17:49:59.957036,0,view_category
user_5,2016-07-07 15:19:54.514142,3,view_category
user_1,2016-07-09 17:21:01.486962,1.5,view_item
user_0,2016-07-06 16:24:02.840346,2.5,view_category
user_4,2016-07-04 10:28:12.754991,2,view_item
user_3,2016-07-08 12:39:09.012186,1.5,view_item
user_3,2016-07-07 10:53:53.867663,3,view_item
user_0,2016-07-03 16:18:51.722521,1,view_category
user_2,2016-07-06 15:42:51.835104,1.5,buy
user_4,2016-07-09 05:12:38.176078,2.5,login
user_4,2016-07-09 23:50:56.038487,1.5,view_category
user_0,2016-07-02 11:25:30.290117,1,view_item
user_0,2016-07-01 05:37:21.372227,3,view_category
user_0,2016-07-02 19:06:02.764711,1.5,view_category
user_5,2016-07-07 03:49:55.229903,2.5,buy
user_2,2016-07-09 08:52:30.590829,2,view_category
user_0,2016-07-06 22:57:48.914870,1,view_item
user_0,2016-06-30 21:04:44.718784,1,view_item
user_3,2016-07-01 04:34:25.441511,2,login
user_3,2016-07-01 07:36:49.961244,2.5,view_category
user_3,2016-07-08 08:03:46.830984,2,login
user_3,2016-07-07 05:21:05.536407,2,view_category
user_4,2016-07-09 23:10:55.280870,1.5,view_item
user_1,2016-07-01 23:39:20.541794,0,view_item
user_1,2016-07-08 19:30:31.964822,1.5,view_category
user_4,2016-06-30 17:21:11.171258,2,view_category
user_0,2016-07-05 22:11:00.173454,2.5,view_category
user_3,2016-07-06 21:00:08.041462,2.5,view_category
user_4,2016-07-09 15:47:31.168936,1.5,view_category
user_4,2016-07-06 02:22:58.085457,1.5,view_item
user_2,2016-07-07 20:35:48.782490,2,view_category
user_3,2016-07-08 05:38:08.990730,2,view_item
user_5,2016-07-07 15:14:36.857329,2,view_item
user_3,2016-07-08 11:21:21.374242,1.5,view_category
user_1,2016-07-01 16:09:15.032783,1,view_category
user_4,2016-07-05 07:17:21.349787,2.5,login
user_3,2016-07-06 18:12:53.983311,1,view_category
user_1,2016-07-04 20:43:26.863773,1.5,view_item
user_2,2016-07-10 11:51:35.477676,0,view_item
user_4,2016-07-04 10:19:18.388292,2.5,view_category
user_4,2016-07-03 04:09:57.804498,1.5,view_item
user_0,2016-07-01 12:26:39.408633,1,view_category
user_3,2016-07-07 17:39:36.410836,2,view_item
user_2,2016-07-06 08:49:16.914084,0.5,view_item
user_5,2016-07-05 07:28:02.397242,2.5,view_category
user_3,2016-07-06 03:40:09.612275,2,view_category
user_3,2016-07-04 13:46:19.468676,1,view_category
user_1,2016-07-06 06:03:22.570537,0,view_item
user_2,2016-07-10 07:23:58.633230,3,view_item
user_4,2016-06-30 16:41:03.933650,1,view_category
user_5,2016-07-08 04:12:33.840099,2,view_item
user_0,2016-07-04 02:41:13.817813,2.5,view_item
user_1,2016-07-04 12:17:28.062064,3,view_category
user_3,2016-07-06 05:38:58.405035,0.5,view_item
user_1,2016-07-09 20:22:56.360350,1.5,view_item
user_1,2016-07-04 02:37:08.868114,1,view_item
user_1,2016-06-30 18:18:50.111975,2,view_category
user_4,2016-07-10 04:26:55.063546,2.5,view_category
user_1,2016-07-05 05:43:06.992592,2.5,buy
user_5,2016-07-02 04:54:20.192363,3,view_category
user_5,2016-07-07 19:56:27.953070,1.5,view_category
user_1,2016-06-30 18:59:30.888387,1,view_category
user_5,2016-07-08 06:46:02.973746,1,view_category
user_1,2016-07-03 10:24:58.857990,1.5,view_category
user_1,2016-07-01 11:55:25.808809,0,buy
user_1,2016-07-06 19:46:17.226625,2.5,view_category
user_0,2016-07-02 11:52:00.153243,0.5,view_item
user_4,2016-07-05 15:22:58.505116,1,view_category
user_3,2016-07-04 15:17:28.323360,2,buy
user_3,2016-07-03 08:01:22.785871,1,view_item
user_2,2016-07-04 10:36:42.961861,0,view_item
user_0,2016-07-10 09:42:49.359013,2,view_category
user_2,2016-07-10 05:35:47.607622,2.5,view_category
user_1,2016-07-10 12:04:17.531747,3,view_category
user_0,2016-07-05 09:02:06.432992,0,view_category
user_1,2016-07-03 02:22:43.779575,3,view_category
user_2,2016-07-10 06:33:22.450588,1,buy
user_2,2016-07-04 06:25:25.368216,3,view_category
user_3,2016-07-05 11:28:01.069969,1,login
user_2,2016-07-07 12:59:20.492781,0.5,view_item
user_3,2016-07-08 07:06:41.030021,3,view_item
user_5,2016-07-05 17:08:02.785961,2,view_category
user_2,2016-07-03 19:29:29.199076,0.5,view_item
user_0,2016-07-02 12:01:24.463653,0,view_category
user_2,2016-07-01 13:04:33.022887,0.5,view_item
user_0,2016-07-03 17:07:33.301973,3,view_category
user_0,2016-07-03 14:31:07.707965,2.5,view_item
user_3,2016-07-06 21:27:08.805574,0,buy
user_5,2016-07-01 22:52:01.499446,2.5,view_item
user_5,2016-07-09 02:55:35.803417,0.5,view_category
